model	rho	rep	v_recovery	parcel	kappa
MixVMF (K = 11)	0.0	17	0.9952131509780884	5	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	6	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	7	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	8	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	9	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	10	15.235861778259277
MixVMF (K = 11)	0.0	18	0.9971855282783508	0	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	1	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	2	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	3	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	4	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	5	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	6	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	7	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	8	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	9	15.315481185913086
MixVMF (K = 11)	0.0	18	0.9971855282783508	10	15.315481185913086
MixVMF (K = 11)	0.0	19	0.9951019287109375	0	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	1	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	2	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	3	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	4	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	5	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	6	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	7	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	8	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	9	15.390469551086426
MixVMF (K = 11)	0.0	19	0.9951019287109375	10	15.390469551086426
MixVMF (K = 11)	0.2	0	0.9929124712944031	0	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	1	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	2	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	3	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	4	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	5	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	6	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	7	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	8	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	9	12.12266731262207
MixVMF (K = 11)	0.2	0	0.9929124712944031	10	12.12266731262207
MixVMF (K = 11)	0.2	1	0.9945775866508484	0	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	1	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	2	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	3	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	4	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	5	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	6	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	7	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	8	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	9	11.934144020080566
MixVMF (K = 11)	0.2	1	0.9945775866508484	10	11.934144020080566
MixVMF (K = 11)	0.2	2	0.9937159419059753	0	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	1	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	2	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	3	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	4	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	5	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	6	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	7	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	8	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	9	11.831035614013672
MixVMF (K = 11)	0.2	2	0.9937159419059753	10	11.831035614013672
MixVMF (K = 11)	0.2	3	0.9944162368774414	0	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	1	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	2	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	3	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	4	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	5	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	6	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	7	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	8	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	9	11.829014778137207
MixVMF (K = 11)	0.2	3	0.9944162368774414	10	11.829014778137207
MixVMF (K = 11)	0.2	4	0.995081901550293	0	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	1	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	2	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	3	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	4	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	5	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	6	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	7	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	8	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	9	12.162135124206543
MixVMF (K = 11)	0.2	4	0.995081901550293	10	12.162135124206543
MixVMF (K = 11)	0.2	5	0.9950246810913086	0	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	1	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	2	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	3	11.854357719421387
